"coefficient","variable","2.5%","50%","97.5%"
"beta.1.","(Intercept)","-0.843","-0.62","-0.313"
"beta.2.","weatherAHail or Sleet","-2.246","0.855","2.881"
"beta.3.","weatherAHeavy rain","-0.213","-0.012","0.159"
"beta.4.","weatherALight rain","-0.268","-0.153","-0.044"
"beta.5.","weatherAMist or Fog","-0.362","-0.039","0.26"
"beta.6.","weatherASnow","-1.182","-0.207","0.551"
"beta.7.","vehicleTypebus","-2.642","-2.157","-1.679"
"beta.8.","vehicleTypecar","-2.486","-2.204","-1.993"
"beta.9.","vehicleTypemotorcycle","-0.158","0.154","0.397"
"beta.10.","vehicleTypetrain","-2.739","-0.733","0.832"
"beta.11.","vehicleTypetruck","-2.093","-1.764","-1.492"
"beta.12.","lightDark","0.154","0.248","0.333"
"beta.13.","lightOvercast","-0.199","-0.102","-0.009"
"beta.14.","lightTwilight","-0.094","0.07","0.242"
"beta.15.","roadTypeHighway","0.377","0.481","0.598"
"beta.16.","roadTypeUrban Road","-0.776","-0.661","-0.546"
"beta.17.","pedestrian","2.065","2.184","2.307"
