LNG,LAT,X,Y,crashYear,holidayNew,region,policeDistrict,areaUnitID,crashLocation1,weatherA,vehicleType,light,roadSurface,roadType,speedLimit,pedestrian,minorInjuryCount,fatalCount,severeOrFatal
176.2769035,-37.7001288,1888911,5822400,2007,not holiday,Bay of Plenty Region,Bay of Plenty,536516,GRAVATT ROAD,Fine,car,Bright sun,Sealed,Urban Road,50,1,0,0,TRUE
175.9119882,-37.58463197,1857128.667,5836281.968,2019,not holiday,Bay of Plenty Region,Bay of Plenty,536615,002-0116,Fine,car,Dark,Sealed,Highway,100,NA,1,0,TRUE
171.5673754,-42.94756844,1483129,5244012,2003,Christmas New Year,Canterbury Region,Canterbury,587100,SH 73 WEST COAST ROAD,Heavy rain,motorcycle,Overcast,Sealed,Urban Road,50,NA,1,0,TRUE
175.1040792,-41.09292574,1776713,5448794,2012,not holiday,Wellington Region,Wellington,566620,GEMSTONE DRIVE,Fine,car,Bright sun,Sealed,Urban Road,50,NA,0,0,TRUE
176.8350799,-39.65011636,1929072,5604042,2006,not holiday,Hawke's Bay Region,Eastern,548300,Z DWY HASTINGS BOYS HIGH,Fine,car,Dark,Sealed,Urban Road,50,2,0,0,TRUE
173.9624169,-41.47527247,1680357,5408034,2012,not holiday,Marlborough Region,Tasman,580431,SH 1S,Fine,car,Dark,Sealed,Highway,100,NA,0,0,TRUE
174.8030183,-41.28622239,1750982,5427901,2006,not holiday,Wellington Region,Wellington,576700,ORIENTAL PARADE,Heavy rain,car,Dark,Sealed,Urban Road,50,NA,2,0,TRUE
174.7635923,-36.85841774,1757215,5919382,2000,not holiday,Auckland Region,Counties Manukau,514301,SYMONDS ST,Fine,car,Bright sun,Sealed,Urban Road,50,NA,0,0,TRUE
176.1415674,-37.73336851,1876852,5819120,2007,not holiday,Bay of Plenty Region,Bay of Plenty,537601,OROPI ROAD,Fine,motorcycle,Bright sun,Sealed,Arterial Road,70,NA,0,0,TRUE
172.7054361,-43.26752674,1576095,5209434,2001,not holiday,Canterbury Region,Canterbury,585805,SH 1S,Fine,car,Twilight,Sealed,Highway,100,NA,1,0,TRUE
174.7808923,-36.92329033,1758623,5912156,2011,not holiday,Auckland Region,Counties Manukau,519810,CHURCH ST,Fine,motorcycle,Bright sun,Sealed,Urban Road,50,NA,1,0,TRUE
174.8841714,-36.99115174,1767674,5904450,2015,not holiday,Auckland Region,Counties Manukau,524604,GREAT SOUTH ROAD,Fine,car,Dark,Sealed,Arterial Road,60,1,1,0,TRUE
174.8649657,-36.97352803,1766003,5906439,2016,not holiday,Auckland Region,Counties Manukau,522302,TUI ROAD,Fine,car,Bright sun,Sealed,Urban Road,50,1,0,0,TRUE
175.5088503,-40.32854932,1813136,5532755,2006,not holiday,Manawatū-Whanganui Region,Central,561901,LONGBURN RONGOTEA ROAD,Fine,car,Dark,Sealed,Highway,100,NA,0,0,TRUE
176.8275929,-37.98521974,1936181,5788908,2001,not holiday,Bay of Plenty Region,Bay of Plenty,542200,OTAKIRI ROAD,Fine,car,Bright sun,Sealed,Urban Road,50,NA,2,0,TRUE
174.6637959,-36.75428016,1748519,5931095,2011,not holiday,Auckland Region,Counties Manukau,509000,PAREMOREMO ROAD,Light rain,car,Overcast,Sealed,Arterial Road,80,NA,0,0,TRUE
175.7871678,-40.44134281,1836388,5519525,2006,not holiday,Manawatū-Whanganui Region,Central,577900,MAKOMAKO ROAD,Fine,car,Overcast,Sealed,Highway,100,NA,1,0,TRUE
175.5735907,-41.04371509,1816310,5453199,2007,not holiday,Wellington Region,Wellington,579502,CARTERTON GLADSTONE ROAD,Fine,motorcycle,Bright sun,Sealed,Highway,100,NA,0,0,TRUE
172.2494052,-41.86797379,1537709,5364610,2011,not holiday,Tasman Region,Tasman,581842,SH 65,Fine,car,Bright sun,Sealed,Highway,100,NA,0,0,TRUE
174.9786531,-40.89593921,1766674,5470910,2018,not holiday,Wellington Region,Wellington,565903,MARINE PARADE,Fine,car,Overcast,Sealed,Urban Road,50,NA,0,0,TRUE
174.718743,-36.62168212,1753688,5945719,2018,not holiday,Auckland Region,Counties Manukau,505906,WHANGAPARAOA ROAD,Fine,car,Dark,Sealed,Arterial Road,60,1,0,0,TRUE
